,imdb_score,director_name,movie_title
199,7.3,Tom McGrath,Megamind
3802,7.3,Jonathan Glazer,Sexy Beast
1561,7.3,Robert Zemeckis,Flight
1952,7.3,Alan Parker,Angela's Ashes
3822,7.3,Billy Wilder,The Front Page
4234,7.3,,Wings
1558,7.3,Stephen Herek,Mr. Holland's Opus
1077,7.3,Dean Parisot,Galaxy Quest
3269,7.3,Maïwenn,Polisse
4559,7.2,Michael Burke,The Mudge Boy
3513,7.2,Kevin Smith,Mallrats
1984,7.2,Robert Towne,Without Limits
1818,7.2,John Madden,Shakespeare in Love
2686,7.2,Mark Romanek,Never Let Me Go
4275,7.2,Richard Brooks,Deadline - U.S.A.
2105,7.2,Mark Pellington,Arlington Road
1578,7.2,Lee Daniels,Lee Daniels' The Butler
3284,7.2,Woo-Suk Kang,Silmido
3505,7.2,Oren Moverman,The Messenger
3341,7.2,Anna Boden,It's Kind of a Funny Story
3342,7.2,Nigel Cole,Made in Dagenham
597,7.2,Steven Spielberg,War Horse
456,7.2,Anthony Minghella,Cold Mountain
437,7.2,Dean DeBlois,Lilo & Stitch
1834,7.2,Lawrence Kasdan,Silverado
756,7.2,Antoine Fuqua,Shooter
655,7.2,Angelina Jolie Pitt,Unbroken
4796,7.2,Nadia Tass,An American Girl Holiday
3514,7.2,Randal Kleiser,Grease
4557,7.2,Jorge Gaggero,Live-In Maid
1787,7.2,Nicholas Meyer,Star Trek VI: The Undiscovered Country
3580,7.2,Vic Sarin,A Shine of Rainbows
3576,7.2,Greg Marcks,11:14
1560,7.2,Sydney Pollack,Out of Africa
3292,7.2,Mervyn LeRoy,Quo Vadis
4298,7.2,Nadine Labaki,Caramel
3559,7.2,Billy Ray,Shattered Glass
1955,7.2,,The Powerpuff Girls
1569,7.2,Rob Marshall,Chicago
1533,7.2,George Tillman Jr.,Men of Honor
3550,7.2,Sofia Coppola,The Virgin Suicides
3074,7.2,Francis Ford Coppola,The Outsiders
556,7.2,M. Night Shyamalan,Unbreakable
4364,7.2,Steve Buscemi,Trees Lounge
153,7.2,Alessandro Carloni,Kung Fu Panda 3
3530,7.2,John Carpenter,Escape from New York
1981,7.2,Roman Polanski,Carnage
2677,7.2,Woody Allen,Whatever Works
4179,7.2,Debra Granik,Winter's Bone
4404,7.2,Tom Sanchez,The Knife of Don Juan
1573,7.2,Jan de Bont,Speed
4303,7.2,François Truffaut,Mississippi Mermaid
4780,7.2,Maurizio Benazzo,Short Cut to Nirvana: Kumbh Mela
146,7.2,Wolfgang Petersen,Troy
56,7.2,Mark Andrews,Brave
3496,7.2,Robert Wise,The Andromeda Strain
709,7.2,Martin Campbell,GoldenEye
4730,7.2,Jerome Elston Scott,Anderson's Cross
1880,7.2,Gabor Csupo,Bridge to Terabithia
4820,7.2,Sai Varadan,An American in Hollywood
2972,7.2,Joe Dante,Gremlins
4314,7.2,Atom Egoyan,Exotica
3240,7.2,Tamara Jenkins,The Savages
2799,7.2,Gil Junger,10 Things I Hate About You
4553,7.2,Victor Nunez,Ruby in Paradise
2047,7.2,Neil Jordan,The End of the Affair
2949,7.2,Takeshi Kitano,Brother
4323,7.2,Henry Bean,The Believer
3419,7.2,Neil Marshall,The Descent
577,7.2,John Lasseter,Cars
3414,7.2,Robert Rodriguez,Desperado
4385,7.2,Steven Soderbergh,"Sex, Lies, and Videotape"
117,7.2,Francis Lawrence,I Am Legend
126,7.2,Lana Wachowski,The Matrix Reloaded
3410,7.2,Adam Brooks,"Definitely, Maybe"
4541,7.2,C. Jay Cox,Latter Days
2781,7.2,Martin McDonagh,Seven Psychopaths
4584,7.2,Ryan Fleck,Half Nelson
3397,7.2,Daniel Barber,Harry Brown
1627,7.2,James Gartner,Glory Road
3381,7.2,Joe Carnahan,Narc
2025,7.2,Richard Williams,The Princess and the Cobbler
1631,7.2,Lee Toland Krieger,The Age of Adaline
1885,7.2,Adam McKay,Anchorman: The Legend of Ron Burgundy
629,7.2,Alejandro Amenábar,Agora
2049,7.2,Paul Haggis,In the Valley of Elah
2976,7.2,Stephen Daldry,Trash
1708,7.2,Laurent Tirard,Little Nicholas
4262,7.2,Sam Taylor-Johnson,Nowhere Boy
1385,7.2,Wilson Yip,Ip Man 3
4581,7.2,Michael Cuesta,L.I.E.
1597,7.2,Alexander Payne,About Schmidt
3350,7.2,Edward Hall,Restless
3273,7.2,Joel Schumacher,The Lost Boys
2983,7.2,David S. Ward,Major League
3146,7.2,Chris Weitz,A Better Life
1603,7.2,Nicholas Stoller,Forgetting Sarah Marshall
4554,7.2,Peter Sollett,Raising Victor Vargas
3149,7.2,Douglas McGrath,Nicholas Nickleby
2728,7.2,Oliver Stone,Born on the Fourth of July
4173,7.2,Chris Eyre,Smoke Signals
3155,7.2,Richard Kwietniowski,Owning Mahowny
2811,7.2,Frank Darabont,The Mist
180,7.2,Gore Verbinski,Rango
4738,7.2,Justin Lin,Better Luck Tomorrow
3477,7.2,Kim Nguyen,Two Lovers and a Bear
1498,7.2,Martin Scorsese,The Age of Innocence
1410,7.2,Randall Wallace,Secretariat
4151,7.2,Robert Fontaine,Mi America
3453,7.2,Rodrigo García,Mother and Child
4392,7.2,Alfred Hitchcock,The Trouble with Harry
576,7.2,Andrew Adamson,Shrek 2
2001,7.2,Sylvester Stallone,Rocky Balboa
1495,7.2,Tony Kaye,Black Water Transit
2007,7.2,Todd Phillips,Old School
3491,7.2,Alan Alda,The Four Seasons
4260,7.2,Jamal Hill,Brotherly Love
2695,7.2,Pierre Morel,District B13
1237,7.2,Steven Spielberg,Amistad
3779,7.2,Carlos Saura,Tango
266,7.2,Len Wiseman,Live Free or Die Hard
2313,7.2,,The Doombolt Chase
4088,7.2,Nacho Vigalondo,Timecrimes
3641,7.2,Richard Fleischer,"20,000 Leagues Under the Sea"
861,7.2,Paul King,Paddington
2439,7.2,George A. Romero,Day of the Dead
1247,7.2,Oliver Stone,The Doors
4447,7.2,Allan Dwan,Sands of Iwo Jima
1116,7.2,Roman Polanski,The Ghost Writer
1252,7.2,Mimi Leder,Pay It Forward
4684,7.2,Jonathan Caouette,Tarnation
1185,7.2,Penny Marshall,A League of Their Own
2597,7.2,Brian Gibson,What's Love Got to Do with It
2434,7.2,Nimród Antal,Metallica Through the Never
1086,7.2,John Lasseter,A Bug's Life
2433,7.2,D.J. Caruso,The Salton Sea
3701,7.2,Xavier Beauvois,Of Gods and Men
4028,7.2,Michael Landon Jr.,Love's Abiding Joy
2331,7.2,Wes Craven,Scream
3772,7.2,Amy Heckerling,Fast Times at Ridgemont High
1057,7.2,Christopher Nolan,Insomnia
2283,7.2,Michael Apted,Chasing Mavericks
4458,7.2,Courtney Hunt,Frozen River
4448,7.2,Martin Scorsese,Shine a Light
1081,7.2,Thomas Carter,Coach Carter
306,7.2,Paul Verhoeven,Starship Troopers
1090,7.2,Melville Shavelson,"Yours, Mine and Ours"
4451,7.2,Ben Lewin,The Sessions
3805,7.2,R. Balki,Paa
276,7.2,Christopher Barnard,"10,000 B.C."
3675,7.2,Barry Levinson,Diner
4464,7.2,Don Coscarelli,Bubba Ho-Tep
4608,7.2,U. Roberto Romano,The Harvest/La Cosecha
4513,7.2,Mikel Rueda,Hidden Away
32,7.2,Shane Black,Iron Man 3
4605,7.2,Thomas Lilti,Irreplaceable
4465,7.2,Marc Levin,Slam
3990,7.2,Michel Gondry,Dave Chappelle's Block Party
272,7.2,Ridley Scott,Kingdom of Heaven
2526,7.2,Woody Allen,Vicky Cristina Barcelona
1199,7.2,Nancy Meyers,The Intern
3654,7.2,Robert Duvall,The Apostle
15,7.2,Zack Snyder,Man of Steel
4466,7.2,Richard Dutcher,Brigham City
506,7.2,Brett Ratner,Red Dragon
319,7.2,Steve Martino,The Peanuts Movie
2322,7.2,Jonathan Jakubowicz,Hands of Stone
2474,7.2,Jason Moore,Pitch Perfect
3731,7.2,Jaume Balagueró,Sleep Tight
4700,7.2,Mor Loushy,Censored Voices
2265,7.2,Kirk Jones,Everybody's Fine
3960,7.2,Max Mayer,Adam
3600,7.2,Hugh Hudson,Chariots of Fire
2619,7.2,Gina Prince-Bythewood,Love & Basketball
3720,7.2,Dennis Hopper,Out of the Blue
4652,7.2,Ol Parker,Now Is Good
3904,7.2,Peter Cattaneo,The Full Monty
25,7.2,Peter Jackson,King Kong
2254,7.2,Matt Reeves,Let Me In
288,7.2,James Cameron,True Lies
1144,7.2,Phil Lord,21 Jump Street
1166,7.2,Jean-Pierre Jeunet,Micmacs
2392,7.2,Mike Nichols,Catch-22
3962,7.2,Mike Mills,Beginners
2405,7.2,Danny Boyle,Steve Jobs
2533,7.2,Allen Coulter,Remember Me
4651,7.2,William Gazecki,The Outrageous Sophie Tucker
3766,7.2,Michel Leclerc,The Names of Love
3613,7.2,Aki Kaurismäki,Le Havre
2543,7.2,Russell Mulcahy,Highlander
1174,7.2,John G. Avildsen,The Karate Kid
839,7.2,Antoine Fuqua,The Equalizer
2544,7.2,Susanne Bier,Things We Lost in the Fire
2529,7.2,Peter Kosminsky,White Oleander
45,7.2,James Wan,Furious 7
2180,7.2,Trey Parker,Team America: World Police
366,7.1,Bryan Singer,Valkyrie
3809,7.1,Richard Kwietniowski,Love and Death on Long Island
4677,7.1,Jeremy Saulnier,Blue Ruin
4524,7.1,Ralph Nelson,Charly
3288,7.1,John Sayles,Limbo
414,7.1,Martin Brest,Meet Joe Black
591,7.1,Randall Wallace,We Were Soldiers
369,7.1,Steven Spielberg,A.I. Artificial Intelligence
4381,7.1,Henry Hathaway,Niagara
4171,7.1,Jack Conway,Boom Town
1491,7.1,Jean-Paul Rappeneau,The Horseman on the Roof
1962,7.1,Neil Jordan,Michael Collins
1957,7.1,Catherine Hardwicke,Lords of Dogtown
1989,7.1,Guillaume Canet,Little White Lies
4361,7.1,Robert M. Young,The Ballad of Gregorio Cortez
4543,7.1,Tommy Oliver,1982
893,7.1,Don Bluth,Anastasia
3327,7.1,Will Gluck,Easy A
3338,7.1,François Ozon,8 Women
2839,7.1,Douglas McGrath,Infamous
3326,7.1,Nicole Holofcener,Enough Said
4529,7.1,Sanjay Rawal,Food Chains
3763,7.1,Shekar,Barfi
2502,7.1,Julian Jarrold,Becoming Jane
4579,7.1,David LaChapelle,Rize
1115,7.1,Oliver Stone,Nixon
3315,7.1,,The Player
2836,7.1,Sidney Lumet,Find Me Guilty
1507,7.1,Justin Chadwick,Mandela: Long Walk to Freedom
1538,7.1,Frank Marshall,Alive
1503,7.1,George Tillman Jr.,The Longest Ride
1540,7.1,Jean-Pierre Jeunet,The Young and Prodigious T.S. Spivet
3778,7.1,Walter Lang,State Fair
4619,7.1,Brian Baugh,To Save a Life
2282,7.1,Richard Linklater,A Scanner Darkly
2257,7.1,Stephen Frears,Mrs Henderson Presents
3771,7.1,Mike Newell,Four Weddings and a Funeral
4842,7.1,John Reinhardt,Open Secret
413,7.1,Sarah Smith,Arthur Christmas
897,7.1,Clint Eastwood,Flags of Our Fathers
3262,7.1,Julian Jarrold,Red Riding: In the Year of Our Lord 1974
4769,7.1,Zoran Lisinac,Along the Roadside
940,7.1,Cameron Crowe,We Bought a Zoo
938,7.1,Brian Helgeland,Payback
1724,7.1,George Clooney,Confessions of a Dangerous Mind
1835,7.1,Jim Sheridan,Brothers
3131,7.1,Dan Fogelman,Danny Collins
3899,7.1,Vincente Minnelli,The Pirate
3136,7.1,Steven Soderbergh,The Limey
1712,7.1,Bille August,The Color of Freedom
2985,7.1,Joel Schumacher,Phone Booth
3138,7.1,Terence Davies,The House of Mirth
2415,7.1,István Szabó,Being Julia
2340,7.1,Lee Tamahori,The Devil's Double
2979,7.1,Jeff Tremaine,Jackass Number Two
1700,7.1,Michael Radford,The Merchant of Venice
1849,7.1,Mel Gibson,The Passion of the Christ
930,7.1,Phil Lord,22 Jump Street
685,7.1,Baltasar Kormákur,Everest
1730,7.1,John Maybury,The Jacket
4814,7.1,Eric Bugbee,Heroes of Dirt
3004,7.1,Bill Condon,Kinsey
4634,7.1,Molly Bernstein,Deceptive Practice: The Mysteries and Mentors of Ricky Jay
1793,7.1,Chris Weitz,About a Boy
2373,7.1,Terry Zwigoff,Bad Santa
3948,7.1,Justin Kerrigan,Human Traffic
432,7.1,Brian De Palma,Mission: Impossible
3943,7.1,J.C. Chandor,Margin Call
3091,7.1,Ron Underwood,Tremors
3093,7.1,Walter Hill,The Long Riders
2391,7.1,Sean McNamara,Soul Surfer
4306,7.1,Adrienne Shelly,Waitress
3103,7.1,Joel Edgerton,The Gift
1817,7.1,Judd Apatow,The 40-Year-Old Virgin
676,7.1,McG,We Are Marshall
4,7.1,Doug Walker,Star Wars: Episode VII - The Force Awakens
1736,7.1,Stephen Frears,Florence Foster Jenkins
927,7.1,J.J. Abrams,Super 8
2428,7.1,Jonathan Teplitzky,The Railway Man
4770,7.1,Nicolas Winding Refn,Bronson
3233,7.1,Danny Leiner,Harold & Kumar Go to White Castle
1,7.1,Gore Verbinski,Pirates of the Caribbean: At World's End
3825,7.1,Lisa Cholodenko,The Kids Are All Right
1620,7.1,Richard LaGravenese,P.S. I Love You
4210,7.1,Shane Meadows,24 7: Twenty Four Seven
3818,7.1,Marc Forster,Monster's Ball
3268,7.1,Jeremy Sims,Beneath Hill 60
2301,7.1,Roger Spottiswoode,The Children of Huang Shi
4345,7.1,Nae Caranfil,Closer to the Moon
311,7.1,Ron Clements,Treasure Planet
112,7.1,Michael Bay,Transformers
725,7.1,Robert Schwentke,RED
1079,7.1,James Bobin,The Muppets
2885,7.1,Josh Trank,Chronicle
1080,7.1,Stephen Norrington,Blade
2878,7.1,John Badham,WarGames
4231,7.1,Woody Allen,Bananas
2937,7.1,James Gray,Two Lovers
1036,7.1,David O. Russell,Three Kings
2940,7.1,Antonia Bird,Ravenous
4818,7.1,Sara Newens,Top Spin
3859,7.1,Leos Carax,Holy Motors
634,7.1,Ridley Scott,Body of Lies
2955,7.1,Lajos Koltai,Fateless
127,7.1,Alan Taylor,Thor: The Dark World
3844,7.1,Steven Shainberg,Secretary
3217,7.1,Lars von Trier,Melancholia
422,7.1,Pete Travis,Dredd
4668,7.1,Hans Canosa,Conversations with Other Women
4250,7.1,Tim Hunter,River's Edge
919,7.1,George Nolfi,The Adjustment Bureau
1652,7.1,Steven Soderbergh,Side Effects
1651,7.1,Shane Acker,9
703,7.1,David Frankel,Marley & Me
2943,7.1,Peter Care,The Dangerous Lives of Altar Boys
4681,7.1,Richard Glatzer,Quinceañera
3586,7.1,Martin Koolhoven,Winter in Wartime
2136,7.1,Jeff Tremaine,Jackass 3D
222,7.1,Paul Greengrass,Jason Bourne
4110,7.1,Randall Miller,Marilyn Hotchkiss' Ballroom Dancing and Charm School
2058,7.1,Russell Crowe,The Water Diviner
397,7.1,Kevin Lima,Enchanted
1318,7.1,Robert Schwentke,The Time Traveler's Wife
2057,7.1,Mel Brooks,Spaceballs
1351,7.1,Paul Thomas Anderson,The Master
2211,7.1,Henry Joost,Nerve
2592,7.1,Barry Levinson,Wag the Dog
3638,7.1,Blake Edwards,The Return of the Pink Panther
2142,7.1,Richard Linklater,School of Rock
2120,7.1,Sam Mendes,Away We Go
3430,7.1,Aaron Schneider,Get Low
568,7.1,Sam Mendes,Jarhead
2146,7.1,Andrew Davis,Holes
1311,7.1,Peter Ho-Sun Chan,The Warlords
2550,7.1,Dany Boon,Welcome to the Sticks
4416,7.1,,Wolf Creek
2060,7.1,Bobby Farrelly,There's Something About Mary
262,7.1,Shawn Levy,Real Steel
2607,7.1,Jean-Marc Vallée,Wild
1205,7.1,John Hamburg,"I Love You, Man"
4407,7.1,Michael Curtiz,The Charge of the Light Brigade
2732,7.1,Lewis Gilbert,The Spy Who Loved Me
4717,7.1,Kelly Reichardt,Wendy and Lucy
2123,7.1,Tomas Alfredson,Tinker Tailor Soldier Spy
572,7.1,Jean-Jacques Annaud,Two Brothers
4100,7.1,Gus Van Sant,My Own Private Idaho
396,7.1,Genndy Tartakovsky,Hotel Transylvania
3459,7.1,Spencer Susser,Hesher
4714,7.1,Peter Hedges,Pieces of April
4107,7.1,Jake Schreier,Robot & Frank
2249,7.1,Phillip Noyce,The Quiet American
3545,7.1,Brian Klugman,The Words
274,7.1,Ron Clements,The Princess and the Frog
4109,7.1,James Ponsoldt,The Spectacular Now
3492,7.1,Brian De Palma,Dressed to Kill
3606,7.1,Richard Eyre,Iris
564,7.1,Peter Berg,The Kingdom
4115,7.1,Reed Cowan,8: The Mormon Proposition
4534,7.1,David Slade,Hard Candy
3713,7.1,Jeremy Saulnier,Green Room
271,7.1,Alex Proyas,"I, Robot"
534,7.1,Mike Nichols,Charlie Wilson's War
4075,7.1,Victor Nunez,Ulee's Gold
2035,7.1,George Clooney,The Ides of March
3657,7.1,Stephen Hopkins,Race
584,7.1,Renny Harlin,Die Hard 2
1235,7.1,Francis Ford Coppola,The Rainmaker
4387,7.1,Jay Chandrasekhar,Super Troopers
2036,7.1,David Twohy,Pitch Black
2713,7.1,Tung-Shing Yee,Shinjuku Incident
4015,7.1,Jill Sprecher,Thirteen Conversations About One Thing
3590,7.1,Prachya Pinkaew,The Protector
765,7.1,Kevin Macdonald,State of Play
250,7.1,Roland Emmerich,The Patriot
3716,7.1,Wes Anderson,Bottle Rocket
4888,7.1,Richard Linklater,Slacker
1454,7.1,Peter Landesman,Concussion
2938,7.0,Fred Schepisi,Last Orders
639,7.0,Rob Bowman,The X Files
4437,7.0,Clive Barker,Hellraiser
4104,7.0,Alison Maclean,Jesus' Son
4816,7.0,Dena Seidel,Antarctic Edge: 70° South
1902,7.0,Craig Gillespie,Million Dollar Arm
3172,7.0,Jake Scott,Welcome to the Rileys
2928,7.0,Darnell Martin,Cadillac Records
1681,7.0,Paul McGuigan,Wicker Park
3857,7.0,Mars Callahan,Poolhall Junkies
1262,7.0,Chris Columbus,Rent
380,7.0,Carlos Saldanha,Rio
2199,7.0,Edgar Wright,The World's End
1865,7.0,Matt Reeves,Cloverfield
2693,7.0,Atom Egoyan,Felicia's Journey
4253,7.0,Rodrigo Cortés,Buried
1658,7.0,Carl Franklin,One True Thing
1358,7.0,Ethan Coen,Burn After Reading
4470,7.0,Finn Taylor,Dream with the Fishes
1243,7.0,Greg Mottola,Paul
922,7.0,Seth MacFarlane,Ted
1045,7.0,Steven Soderbergh,Out of Sight
4603,7.0,William Gazecki,Crop Circles: Quest for Truth
1366,7.0,Nick Cassavetes,John Q
3196,7.0,Vic Sarin,Partition
2320,7.0,Gnana Rajasekaran,Ramanujan
130,7.0,Kenneth Branagh,Thor
232,7.0,Joseph Kosinski,Oblivion
316,7.0,Ron Howard,In the Heart of the Sea
4244,7.0,Richard Lester,A Funny Thing Happened on the Way to the Forum
1368,7.0,Rawson Marshall Thurber,We're the Millers
3224,7.0,Terence Young,Thunderball
2941,7.0,Jon Poll,Charlie Bartlett
1691,7.0,Lasse Hallström,An Unfinished Life
1150,7.0,Joseph L. Mankiewicz,Cleopatra
4696,7.0,Roger Nygard,Trekkies
3563,7.0,Jonathan Levine,The Wackness
3108,7.0,Tim Burton,Big Eyes
949,7.0,Jaume Collet-Serra,Non-Stop
332,7.0,Kenneth Branagh,Cinderella
3104,7.0,Jim Hanon,End of the Spear
4808,7.0,Ken Roht,Perfect Cowboy
4806,7.0,Mike Cahill,Another Earth
3100,7.0,Simon Curtis,My Week with Marilyn
3047,7.0,Martin Scorsese,The Color of Money
3926,7.0,André Øvredal,Trollhunter
2649,7.0,Lone Scherfig,One Day
2616,7.0,Juan Carlos Fresnadillo,28 Weeks Later
435,7.0,Tim Burton,Batman Returns
3914,7.0,Jack Smight,Harper
3936,7.0,Charles Ferguson,Time to Choose
3564,7.0,Michael Crichton,The Great Train Robbery
1774,7.0,Martin Scorsese,Kundun
46,7.0,Marc Forster,World War Z
2163,7.0,Jaume Collet-Serra,Orphan
1780,7.0,Judd Apatow,Knocked Up
4886,7.0,Eric Eason,Manito
3051,7.0,Dennis Dugan,Happy Gilmore
2374,7.0,Jay Roach,Austin Powers: International Man of Mystery
2380,7.0,Mark Waters,Mean Girls
960,7.0,Stephen Gaghan,Syriana
4081,7.0,Victor Fleming,A Guy Named Joe
4502,7.0,Wajahat Rauf,Karachi se Lahore
817,7.0,,Sex and the City
427,7.0,Guillermo del Toro,Hellboy II: The Golden Army
3866,7.0,David Schwimmer,Trust
4080,7.0,Alex van Warmerdam,The Dress
1703,7.0,Chris Noonan,Miss Potter
2418,7.0,Michael Hoffman,The Last Station
1014,7.0,,Defiance
3895,7.0,George Sidney,Annie Get Your Gun
2135,7.0,Penelope Spheeris,Wayne's World
2346,7.0,Roger Donaldson,The Bounty
3543,7.0,Ed Harris,Pollock
3133,7.0,Luca Guadagnino,I Am Love
2664,7.0,Craig Brewer,Black Snake Moan
354,7.0,Carlos Saldanha,Ice Age: Dawn of the Dinosaurs
1313,7.0,Joon-ho Bong,Snowpiercer
52,7.0,Guillermo del Toro,Pacific Rim
1320,7.0,Tim Burton,Frankenweenie
3551,7.0,Mark Herman,Little Voice
479,7.0,Vincent Ward,What Dreams May Come
4419,7.0,Guy Maddin,Dracula: Pages from a Virgin's Diary
353,7.0,Phil Lord,Cloudy with a Chance of Meatballs
829,7.0,Jay Roach,Meet the Parents
4309,7.0,Larry Clark,Kids
1822,7.0,Andy Tennant,Ever After: A Cinderella Story
4274,7.0,Ted Post,Hang 'Em High
1821,7.0,David Gordon Green,Pineapple Express
2921,7.0,Peter Webber,Girl with a Pearl Earring
1637,7.0,Drew Goddard,The Cabin in the Woods
604,7.0,Jean-Jacques Annaud,Seven Years in Tibet
2548,7.0,Danny Boyle,Trance
2755,7.0,Emilio Estevez,Bobby
3455,7.0,Jean-Marie Poiré,Les visiteurs
4745,7.0,Bill Plympton,I Married a Strange Person!
1956,7.0,Robert Redford,The Conspirator
4463,7.0,Greg Berlanti,The Broken Hearts Club: A Romantic Comedy
4149,7.0,Larry Clark,Bully
4759,7.0,Jamin Winans,Ink
2071,7.0,Len Wiseman,Underworld
286,7.0,Michael Mann,Public Enemies
2298,7.0,Angelo Pizzo,Courage
4568,7.0,Colin Trevorrow,Safety Not Guaranteed
4547,7.0,Paul Andrew Williams,London to Brighton
3692,7.0,Jay Levey,UHF
2871,7.0,Paul Weitz,American Pie
1949,7.0,Brian Helgeland,Legend
4826,7.0,David Hewlett,A Dog's Breakfast
3409,7.0,Jay Russell,My Dog Skip
4837,7.0,Larry Blamire,The Lost Skeleton of Cadavra
308,7.0,Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole
731,7.0,Christopher McQuarrie,Jack Reacher
3707,7.0,Jake Kasdan,Zero Effect
1119,7.0,Yimou Zhang,Curse of the Golden Flower
4204,7.0,David Duchovny,House of D
4834,7.0,Robert Townsend,Hollywood Shuffle
4612,7.0,Pan Nalin,Faith Connections
3429,7.0,Ethan Coen,A Serious Man
4181,7.0,Henry King,Alexander's Ragtime Band
3323,7.0,Erik Canuel,Bon Cop Bad Cop
1528,7.0,Richard Donner,Scrooged
1194,7.0,Nora Ephron,Julie & Julia
744,7.0,Chris Butler,ParaNorman
1431,7.0,,Hit the Floor
4186,7.0,David Ayer,Harsh Times
2059,7.0,Jerry Zucker,Ghost
2771,7.0,Neil Burger,The Lucky Ones
4004,7.0,Patricia Cardoso,Real Women Have Curves
2287,7.0,J.C. Chandor,A Most Violent Year
2868,7.0,William Dear,The Perfect Game
2062,7.0,John Lee Hancock,The Rookie
29,7.0,Colin Trevorrow,Jurassic World
224,7.0,Ridley Scott,Prometheus
2289,7.0,Marc Abraham,Flash of Genius
2290,7.0,Todd Haynes,I'm Not There.
3693,7.0,Nicholaus Goossen,Grandma's Boy
1586,7.0,Stephen Hillenburg,The SpongeBob SquarePants Movie
3285,7.0,Jane Campion,Bright Star
4773,7.0,Jon Shear,Urbania
471,7.0,Henry Jaglom,Déjà Vu
378,7.0,Tony Scott,Spy Game
4389,7.0,Claudia Sainte-Luce,The Amazing Catfish
2903,7.0,David Koepp,Stir of Echoes
82,7.0,Robert Stromberg,Maleficent
1167,7.0,Curtis Hanson,8 Mile
1145,7.0,Roger Michell,Notting Hill
1146,7.0,Peter Lord,Chicken Run
3251,7.0,Todd Haynes,Velvet Goldmine
2907,7.0,Franklin J. Schaffner,The Boys from Brazil
3243,7.0,Burr Steers,Igby Goes Down
80,7.0,Jon Favreau,Iron Man 2
716,7.0,F. Gary Gray,The Italian Job
2915,7.0,Mark Neveldine,Crank
467,7.0,Kelly Asbury,Spirit: Stallion of the Cimarron
359,7.0,Ben Stiller,Tropic Thunder
4450,7.0,Andrew Steggall,Departure
712,7.0,Brenda Chapman,The Prince of Egypt
3834,7.0,Wayne Kramer,The Cooler
3235,7.0,Ben Younger,Boiler Room
3234,7.0,Rod Lurie,The Contender
1139,7.0,Louis Leterrier,Unleashed
4906,7.0,Shane Carruth,Primer
4776,7.0,George Miller,Mad Max
3396,7.0,Nicolas Winding Refn,The Neon Demon
3710,7.0,Michael Cuesta,Kill the Messenger
2270,7.0,Bob Fosse,Sweet Charity
2220,7.0,Richard Donner,Ladyhawke
2214,7.0,,Yu-Gi-Oh! Duel Monsters
3711,7.0,John Cameron Mitchell,Rabbit Hole
2887,7.0,Terry Gilliam,Time Bandits
4169,7.0,Alex Kendrick,Courageous
2537,7.0,Josef Rusnak,The Thirteenth Floor
3480,7.0,Arie Posin,The Chumscrubber
896,7.0,Scott Cooper,Black Mass
21,7.0,Marc Webb,The Amazing Spider-Man
4132,7.0,George Sidney,Show Boat
147,6.9,Eric Darnell,Madagascar 3: Europe's Most Wanted
2850,6.9,Michael Hoffman,The Emperor's Club
4420,6.9,Regardt van den Bergh,Faith Like Potatoes
518,6.9,Eric Darnell,Madagascar
516,6.9,Roland Emmerich,Independence Day
2010,6.9,Bonnie Hunt,Return to Me
3040,6.9,Ivan Reitman,Stripes
3015,6.9,Martin Ritt,The Molly Maguires
1797,6.9,Roland Emmerich,Anonymous
1800,6.9,Saul Dibb,The Duchess
2770,6.9,Chao-Bin Su,Reign of Assassins
3024,6.9,Oliver Parker,An Ideal Husband
2363,6.9,Chuck Russell,The Mask
2650,6.9,Drew Barrymore,Whip It
4891,6.9,Alex Kendrick,Flywheel
4456,6.9,Sean Durkin,Martha Marcy May Marlene
587,6.9,Cameron Crowe,Vanilla Sky
3053,6.9,Stephen Herek,Bill & Ted's Excellent Adventure
2698,6.9,Gregor Jordan,Buffalo Soldiers
2492,6.9,Joel Schumacher,Veronica Guerin
2305,6.9,Katsuhiro Ôtomo,Steamboy
131,6.9,Byron Howard,Bolt
2568,6.9,Tony Scott,Top Gun
73,6.9,David Ayer,Suicide Squad
1928,6.9,Spike Lee,He Got Game
2963,6.9,Christopher Smith,Triangle
2724,6.9,Garry Marshall,Pretty Woman
2723,6.9,Adrian Lyne,Fatal Attraction
570,6.9,Frank Darabont,The Majestic
1922,6.9,Bobby Farrelly,Kingpin
2191,6.9,John Madden,The Debt
2081,6.9,Kevin Smith,Jay and Silent Bob Strike Back
4551,6.9,Justin Molotnikov,Crying with Laughter
2906,6.9,Mike Binder,The Upside of Anger
4324,6.9,David Gordon Green,Snow Angels
4317,6.9,Alex Cox,Repo Man
4469,6.9,David Gordon Green,All the Real Girls
457,6.9,Albert Hughes,The Book of Eli
4899,6.9,Olivier Assayas,Clean
64,6.9,Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
4908,6.9,Robert Rodriguez,El Mariachi
2598,6.9,James Mangold,Cop Land
2877,6.9,Tom Shadyac,Ace Ventura: Pet Detective
652,6.9,Adam McKay,Step Brothers
2221,6.9,Mark Steven Johnson,Simon Birch
145,6.9,Rob Minkoff,Mr. Peabody & Sherman
523,6.9,Carlos Saldanha,Ice Age: The Meltdown
2055,6.9,Teddy Chan,Bodyguards and Assassins
4496,6.9,Hal Haberman,Special
